Tommy Haas,9608
Robby Ginepri,6080
Denis Istomin,1329
Tim Henman,4306
Alexandr Dolgopolov,1699
Marcos Baghdatis,4236
Tommy Robredo,5446
Robin Soderling,4293
Nicolas Massu,2650
James Blake,7168
Taylor Dent,6118
Julien Benneteau,3913
Marcel Granollers,1121
Feliciano Lopez,4588
Donald Young,2297
Marin Cilic,4511
David Ferrer,3275
Gael Monfils,5556
Rafael Nadal,10990
Philipp Kohlschreiber,5433
Janko Tipsarevic,5508
Xavier Malisse,3115
Tomas Berdych,5865
Mikhail Youzhny,4471
Roger Federer,24568
Jo-Wilfried Tsonga,4399
Andy Roddick,18697
Radek Stepanek,2512
Paradorn Srichaphan,3616
Kevin Anderson,1868
Dmitry Tursunov,2605
Thomas Johansson,3298
Juan Martin Del Potro,6491
Fernando Gonzalez,6754
Benjamin Becker,2213
David Nalbandian,6084
Mardy Fish,6924
Juan Monaco,1407
Guillermo Coria,3078
Gilles Muller,4771
Florian Mayer,1832
Jack Sock,3349
Ernests Gulbis,3094
Andreas Seppi,1358
Stanislas Wawrinka,6886
Carlos Moya,5488
Ivo Karlovic,7301
Juan Carlos Ferrero,5309
Ivan Dodig,1363
Nicolas Almagro,4382
Philipp Petzschner,2598
Alex Jr. Bogomolov,2574
Lleyton Hewitt,5846
Milos Raonic,5314
Juan Ignacio Chela,1571
Michael Llodra,2699
Andy Murray,9831
Fernando Verdasco,6169
Gilles Simon,3210
Nikolay Davydenko,3992
Ivan Ljubicic,2678
Arnaud Clement,4016
Jose Acasuso,2743
Nicolas Kiefer,4498
Andre Agassi,5797
Novak Djokovic,13097
Olivier Rochus,1906
John Isner,11741
Richard Gasquet,7949
